NUMBER,SENTENCE,ACTUAL_VALUE,PREDICTED_VALUE
1106,"You agree not to create a new Account with 9GAG, without 9GAG’s express written consent, if 9GAG has previously disabled an Account of yours.",2,2
1107,"The User is not permitted to sell, rent out, transfer or grant restrictive rights to the Service, or to make it available to third parties in any way or for any purpose.",2,0
1108,"Trademarks, service marks, and all graphical elements, including the look and feel appearing on the online services, are distinctive and protected trademarks or trade dress of McDonald’s or its licensors.",0,0
1109,"Click here to learn more about these measurement services, Channels and Sports and Live content that include them and your choices.",0,0
1110,"Our Site, Application, and/or Services are made available ""as is"", ""as available"", and ""with all faults"" for the stated purposes herein.",0,0
1111,"If you are uncertain about the meaning of this policy or the legal ramifications of submitting materials to us, you should consult with your attorney before making a submission.",3,0
1112,"You understand and agree that you are solely responsible for your User Content and the consequences of posting or publishing such User Content, on the Service, in any way.",3,3
1113,"If your use of the Service ends, the following terms of this Agreement will continue to apply to you: “Other Legal Terms”, “About This Agreement”, and the licenses granted by you will continue as described under “Duration of License”.",0,0
1114,"Should the price of the G! Pass change, the price change will apply to the renewed contract.",0,0
1115,"Exceptions.",0,0
1116,"We may use third party service providers in the provision of the Cookpad Service or in fulfilling our obligations under these Terms of Service.",1,1
1117,"We respect the intellectual property rights of artists and content owners.",0,0
1118,"You agree not Collect or store any personally identifiable information from the Site or Services from other users of the Site or Services without their express permission.",2,0
1119,"If we ask, you will co-operate fully and reasonably as required by us in the defence of any relevant claim.",3,0
1120,"You agree that we may do any of the following, at any time, without notice: (i) to modify, suspend or terminate operation of or access to the Platform, or any portion of the Platform (including access to your account and/or the availability of any products or services), for any reason; (ii) to modify or change any applicable policies or terms; and (iii) to interrupt the operation of the Platform  or any portion of the Platform (including access to your account and/or the availability of any products or services), as necessary to perform routine or non-routine maintenance, error correction, or other changes.",3,3
1121,"We are not responsible if information made available on this site is not accurate, complete or current.",0,0
1122,"We also reserve the right to modify or update the operation of the Services at our sole discretion, at any time, for any or no reason, and without notice or liability.",1,0
1123,"You are responsible for keeping your Listing information (including calendar availability) and content (like photos) up-to-date and accurate at all times.",3,3
1124,"Governing Law These Terms shall be governed and construed in accordance with the laws of France, without regard to its conflict of law provisions.",0,0
1125,"Upon termination, you will no longer have access to the Service, mobile application, or content provided through the Services.",0,0
1126,"WhatsApp is not liable for any acts or omissions by Company that breach any applicable laws.",0,0
1127,"OUR AGGREGATE LIABILITY RELATING TO, ARISING OUT OF, OR IN ANY WAY IN CONNECTION WITH THESE BUSINESS TERMS, US, OR OUR BUSINESS SERVICES WILL NOT EXCEED THE GREATER OF ONE HUNDRED DOLLARS ($100) OR THE AMOUNT COMPANY HAS PAID US IN THE PAST TWELVE MONTHS TO USE OUR BUSINESS SERVICES.",0,0
1128,"HiTV has the right to change the aforementioned restriction rules, and the specific rules of HiTV (including this Agreement) shall prevail.",1,1
1129,"In connection with your use of Website, JetBrains and its associated companies may process your personal data for the following purposes:",1,1
1130,"You will not share access to your account or access information for your account with any third party.",2,2
1131,"We cannot predict when issues might arise with our Products.",0,0
1132,"Although we will do our best to notify you of any major changes to the Agreement, you should also periodically review the most up-to-date version of the Agreement on the WEBTOON Website and/or WEBTOON App.",3,0
1133,"Additional account registration requirements may also apply.",0,1
1134,"It does not apply to the Service, its database, Waze’s trademarks, the design of the maps of the Service and the voice files integrated in the Software or to other intellectual property rights of Waze – all of these are not free-software.",0,0
1135,"The access to and use of the services on this website (“the Website”) are subject to these Terms.",0,0
1136,"False Notifications of Claimed Infringement or Counter Notifications.",0,0
1137,"If you are a Partner, you are accountable for paying any tax and statutory contributions due in respect of sums payable to you under or in connection with this Agreement.",3,3
1138,"The AAA Rules are available at www.adr.org.",0,0
1139,"This section only applies if you live outside of Quebec, Russia, Switzerland, Brazil, Mexico, the member states of the EEA, United Kingdom and the Republic of Korea.",0,0
1140,"We may assign or transfer our agreement with you including our associated rights and obligations at any time and you agree to cooperate with us in connection with such an assignment or transfer.",1,1
1141,"On the other hand, when you pay for the Ok Cupid service, you agree that the credits will be made available to you immediately.",3,3
1142,"This section outlines our relationship with you.",0,0
1143,"You may not upload UGC that infringes a third party's intellectual property rights or that violates the law, this Agreement or a third party's right of privacy or right of publicity.",2,2
1144,"This Clause will apply even after this Contract has ended.",0,0
1145,"Payments will be charged on the day you sign up, and will cover the use of that service for an annual period as indicated.",0,0
1146,"Offers and pricing for subscriptions (also referred to at times as memberships), the subscription services, the extent of available Subscription Digital Content, and the specific titles available through subscription services, may change over time and by location without notice (except as may be required by applicable law).",0,1
1147,"You must remove your Content if you no longer have the rights required by these terms.",3,0
1148,"You are responsible for all charges related to using the purchased Service (for example, data charges and currency exchange settlements).",3,3
1149,"Taxes.",0,0
1150,"If you don’t like the new terms, please stop using Pinterest.",3,0
1151,"Under no circumstances will Zoom be liable in any way for any (a) Content that is transmitted or viewed while using the Services, (b) errors or omissions in the Content, or (c) any loss or damage of any kind incurred as a result of the use of, access to, or denial of access to Content.",0,0
1152,"Subject to your compliance with these Business Terms, we grant you a limited, revocable, non-exclusive, non-sublicensable, and non-transferable license to use our Business Services solely as authorized in these Business Terms.",1,0
1153,"You may not share API tokens to exceed GitHub's rate limitations.",2,2
1154,"Examples of unacceptable Content or behavior include: Abuse, harassment, threats, flaming or intimidation of any person or organization; Uploading or sending pornographic, threatening, embarrassing, hateful, racially or ethnically insulting, libelous, or otherwise inappropriate Conten; Uploading copyrighted material that is not Your own or that You do not have the legal right to distribute, display, and otherwise make available to others; Making unsolicited offers, advertisements, proposals, or sending junk mail (aka spam) Impersonating another person or pretending to be affiliated with an organization with which You are not affiliated or misrepresenting the extent of Your affiliated or role with an affiliated organization or the source, identity or Content transmitted; Engaging in or contributing to any illegal activity or activity that violates others’ rights; Use of derogatory, discriminatory or excessively graphic language; Transmitting worms, viruses or harmful software; Disclosing the personal or proprietary information of another person or organization not otherwise permitted by applicable rules or law; Sharing HackerRank Accounts or Credentials with any third party or encouraging any other Hacker to do so.",2,0
1155,"“Amazon Services” means the provision of Amazon Software, Digital Content, and support and other services that we provide Product users.",0,0
1156,"Not all of the products or services described on this website are available in all areas of the United States.",0,0
1157,"YOU ACKNOWLEDGE THAT WE DO NOT HAVE CONTROL OVER YOUR USE OF THE NORDVPN SERVICES, AND WE DO NOT WARRANT THE PERFORMANCE OR RESULTS THAT MAY BE OBTAINED THROUGH YOUR USE OF THE SERVICES.",3,3
1158,"Assignment",0,0
1159,"You hereby acknowledge that you are solely responsible for the Uploaded content and Generated content, as well as any consequences of publicly posting and sharing such content, including, but not limited to any claims, costs, losses, damages, expenses, judgments, any other possible conflicts, disputes, contretemps or issues arising out of or related to your content.",3,3
1160,"(IF ANY) IN THE TWELVE (12) MONTHS PRECEDING THE EVENT OR CIRCUMSTANCES GIVING RISE TO SUCH CLAIMS.",0,0
1161,"Disclaimer of Warranties",0,0
1162,"TAXES.",0,0
1163,"Your failure to comply with the provisions set forth below may result (at Waze’s sole discretion) in the termination of your access to the Service and may also expose you to civil and/or criminal liability.",3,1
1164,"In respect to the cellular telephones using the free-software version of the Software, the Software is free software; you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version 2 of the License, or (at your option) any later version.",1,0
1165,"SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED WARRANTIES, SO THE ABOVE EXCLUSION MAY NOT APPLY TO YOU.",0,1
1166,"MOREOVER, YOU AGREE THAT WE DO NOT HAVE RESPONSIBILITY OR LIABILITY FOR THE DELETION OF, OR THE FAILURE TO STORE OR TO TRANSMIT, ANY MATERIAL OR CONTENT AND OTHER COMMUNICATIONS MAINTAINED IN THE SERVICE.",3,3
1167,"Sanvello cannot ensure the security or confidentiality of messages sent by email.",0,0
1168,"Invoicing For invoiced Users, User agrees to pay the fees in full, up front without deduction or setoff of any kind, in U.S. Dollars. User must pay the fees within thirty (30) days of the GitHub invoice date.",3,0
1169,"Such third parties shall bear any and all responsibility regarding such services and/or Contents.",3,0
1170,"HackerRank is not available to persons under the age of thirteen (13) or to anyone suspended or removed from HackerRank.",2,0
1171,"Intellectual Property Rights",0,0
1172,"Users will not be able to access any data or file after the termination of account.",2,0
1173,"Any such action could prevent you from accessing your Account, the Service, Your Content, Service Content, or any other related information.",0,0
1174,"If you choose to become a Registered User, you must treat your account information as confidential.",0,0
1175,"The amounts due and payable by you for a Transaction through the Services will be presented to you before you place your order.",0,0
1176,"Whenever you add Content to a repository containing notice of a license, you license that Content under the same terms, and you agree that you have the right to license that Content under those terms.",3,3
1177,"When the User deletes User Content, it is deleted in a manner similar to emptying the recycle bin on a computer.",0,0
1178,"You may only use other Badoo users’ personal data to the extent that your use of it matches Badoo’s purpose of allowing people to meet one another.",3,1
1179,"If you do not have such authority, you must not accept this Agreement and may not use the Site, Software or Services.",2,2
1180,"If you are on a Team on Canva for Teams, the Team Owner or Administrator may control access to, delete, or re-assign ownership to the User Content you upload and Designs you create on the account you access as part of the Team.",1,1
1181,"Contact Us.",0,0
1182,"By using the Service, you consent and agree to the collection and use of certain personal data about you and your use of the Service in accordance with our Privacy Policy (photomath.com/privacypolicy) and applicable laws and regulations related to personal data.",3,0
1183,"If you are on a Canva for Teams plan, you are billed according to Canva’s “Pay as You Grow” model.",0,0
1184,"If you decide to initiate arbitration, you agree to pay the initiation fee of $200 (or the amount otherwise required by the AAA Rules), and we agree to pay the remaining arbitration initiation fee and any additional deposit required by AAA to initiate your arbitration.",3,0
1185,"You will not post or transmit in any manner any Personal Information including, but not limited to, email addresses, telephone numbers, postal addresses through your publicly posted information.",2,2
1186,"THIS AGREEMENT SHALL BE GOVERNED BY THE LAWS OF THE PEOPLE’S REPUBLIC OF CHINA (“PRC”).",0,0
1187,"HACKERRANK JOBS, AND ALL INCLUDED INFORMATION, CONTENT, MATERIALS AND SERVICES ARE PROVIDED “AS IS,” WITH NO WARRANTIES WHATSOEVER, EITHER EXPRESS OR IMPLIED.",0,0
1188,"All contents of the Site and Services including but not limited to logo, design, text, software, technical drawings, configurations, graphics, other files, and their selection and arrangement and Box Confidential Information belong to Box, and/or its suppliers, affiliates, or licensors.",0,0
1189,"Except as permitted in these Terms, You do not have the rights to use, reproduce, create derivative works of, distribute, publicly perform or publicly display any Content that does not belong to You, other than viewing of Content or the associated Challenges on or through the HackerRank.",2,0
1190,"If it turns out that a particular provision of these Terms is not enforceable, this will not affect any other terms.",0,0
1191,"In this case, refunds are handled according to the terms of service of the reseller from which the product was purchased.",0,0
1192,"You further agree that when using the Platform you shall not: copy, modify, create a derivative work of, reverse engineer, decompile, translate, disassemble or otherwise attempt to extract any of the source code of Google Maps; sublicense, transfer or distribute Google Maps; sell, resell or otherwise make Google Map available to a third party as part of a commercial offering that does not have material value independent of Google Maps; or access or use Google Maps in a manner that is illegal or which is likely to result in a circumvention of any fees payable to Google.",2,3
1193,"The registration information such as the account name, profile photo and profile submitted by you shall not include any illegal or inappropriate information.",2,2
1194,"You acknowledge your use of the Services is subject to our Privacy Policy and understand that it identifies how Box collects, stores, and uses certain information.",3,0
1195,"THE FOREGOING DISCLAIMER OF CERTAIN DAMAGES AND LIMITATION OF LIABILITY WILL APPLY TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW.",0,0
1196,"Regardless of the manner in which the arbitration is conducted, the arbitrator must issue a reasoned written decision in English sufficient to explain the essential findings and conclusions on which the decision and award, if any, are based.",3,3
1197,"All issues are for the arbitrator to decide, including the scope of this arbitration clause, but the arbitrator is bound by the terms of these Terms and Conditions.",0,0
1198,"We shall not be required to compensate you for any suspension or termination.",0,0
1199,"You can cancel your Fabulous membership at any time, and you will continue to have access to Fabulous’s service through the end of your billing period.",1,0
1200,"Terms contained in the Conditions of Use of your Video Marketplace (noted here) apply to your use of Software.",0,0
1201,"The online services may provide links to job opportunities posted by McDonald’s or restaurants.",0,1
1202,"You should, too.",0,0
1203,"Should you decide to cancel your subscription, please check the instructions at Google Play Store /App Store support pages.",0,0
1204,"Regarding contents violating this Agreement or applicable laws and regulations, infringing upon the lawful rights and interests of others or which we have reason to believe that have damaged the creditability and security of us or others, we have the right to, among others, direct deletion, blocking or deactivation, without prior notification.",1,0
1205,"You can stop using our Services at any time, although we'll be sorry to see you go.",1,0
1206,"If we determine that you have clearly, seriously or repeatedly breached our Terms or Policies, including in particular our Community Standards, we may suspend or permanently disable access to your account.",1,3
1207,"“Content” all information whether textual, visuals, audio or otherwise appearing on or available through the Service including supplied between content providers.",0,0
1208,"The arbitrator must follow these terms and can award the same damages and relief as a court.",3,0
1209,"Content previously generated on the Vine Archive remains subject to the Vine Rules, which are part of these Terms and outline what is prohibited on the Vine Archive.",0,0
1210,"For this reason: * You must use the same name that you use in everyday life.",3,0
1211,"Booking Modifications.",0,0
1212,"You will remain responsible for all Fees incurred through the last day the Services were available.",3,0
1213,"Waze hereby grants you a free of charge, non-exclusive, time-limited, non-transferable, non-sub-licensable, revocable license to use the Service (including the Software) for non-commercial purposes, subject to these Terms.",1,0
1214,"From time to time, we may restrict access to some parts of the Service, or the entire Service to users.",1,1
1215,"The obligations and liabilities of the parties incurred prior to the termination date shall survive the termination of this agreement for all purposes.",0,0
1216,"EA grants you access to our games and services to you for your personal enjoyment.",1,0
1217,"You must not post any content on or through the Services or transmit to us any content that you consider to be confidential or proprietary.",2,2
1218,"In order to maintain Box's obligations to you for the provision of Box Zones, you acknowledge and agree that Box may change the Service Provider(s) at any time during your Subscription Plan.",3,1
1219,"Jora disclaims any and all responsibility or liability for the accuracy, content, completeness, legality, reliability, or operability or availability of information or material displayed in the Jora results.",0,0
1220,"If you register an account or use the Services on behalf of a corporate entity, you hereby represent and warrant that you have been duly authorized and have the right to represent and bind such corporate entity to the terms of the Terms.",3,0
1221,"All aspects of the arbitration proceeding, and any ruling, decision, or award by the arbitrator, will be strictly confidential for the benefit of all parties.",0,0
1222,"EA does not pre-screen all UGC and does not endorse or approve any UGC available on EA Services.",0,0
1223,"You may also receive promotional emails from us.",1,1
1224,"3.2.",0,0
1225,"From the moment of payment for the Ticket, obligations arise between the Organizer and the Visitor, stipulated by the Terms and Conditions of the Event.",3,0
1226,"By creating a Canva for Teams account, you confirm that you have read, understood and agree to our Data Processing Addendum in full, and that the Data Processing Addendum shall be incorporated into these Terms to the extent Personal Data subject to the Applicable Data Laws (as defined in the Data Processing Addendum) is processed in your use of the Service.",3,0
1227,"We will not be able to provide this advance notice if you are in material breach of these Terms, or if such notice would lead to civil or criminal liability for Box, or if providing notice would compromise our ability to provide the Services to our other users.",2,2
1228,"You agree not to gain unauthorized access to the Service, to other Users’ Accounts, names or personally identifiable information, or to other computers or websites connected or linked to the Service.",2,2
1229,"Any and all Claims shall be submitted for binding arbitration in accordance with the Consumer Arbitration Rules of the American Arbitration Association (the “AAA Rules”), as amended, in effect at the time arbitration is initiated.",3,0
1230,"NOTICE AND PROCEDURE FOR MAKING CLAIMS OF COPYRIGHT OR OTHER INTELLECTUAL PROPERTY INFRINGEMENTS",0,0
1231,"Mandatory Pre-Arbitration Dispute Resolution and Notification.",0,0
1232,"Under no circumstances shall Jora be liable to any user on account of that user’s use or misuse of or reliance on the Jora services.",0,0
1233,"When you create your Coursera account, and subsequently when you use certain features, you must provide us with accurate and complete information, and you agree to update your information to keep it accurate and complete.",3,3
1234,"You acknowledge that Academia.edu has no obligation to monitor your access to or use of the Site, Services or Collective Content or to review or edit any Collective Content, but has the right to do so for the purpose of operating the Site and Services, to ensure your compliance with these Terms, or to comply with applicable law or the order or requirement of a court, administrative agency or other governmental body.",3,3
1235,"To view our Privacy Policy.",0,0
1236,"In certain instances, Customer Service may best be able to assist you by using a remote access support tool through which we have full access to your computer.",0,1
1237,"1 Introduction",0,0
1238,"You acknowledge and agree that any questions, comments, suggestions, ideas, feedback, bug reports or other information about the Service (“Submissions”) provided by you are non-confidential and shall become our sole property and you assign all rights in these Submissions to Photomath.",3,0
1239,"By continuing to access or use the Services after those revisions become effective, you agree to be bound by the revised Terms.",3,0
1240,"You understand that through your use of the Services you consent to the collection and use (as set forth in the Privacy Policy) of this information, including the transfer of this information to the United States, Ireland, and/or other countries for storage, processing and use by Twitter and its affiliates.",3,0
1241,"11",0,0
1242,"We may also terminate your use of the Service if it comes to our attention that any of your representations to us is not correct.",1,1
1243,"Merchandise purchases made through 9GAG can only be made using an approved payment mechanism (e.g., debit and credit cards).",0,0
1244,"We do not claim ownership of any content or information that you upload on the Platform or otherwise supply us with.",0,0
1245,"In the event that any provision of these Terms of Service is determined to be unlawful, void or unenforceable, such provision shall nonetheless be enforceable to the fullest extent permitted by applicable law, and the unenforceable portion shall be deemed to be severed from these Terms of Service, such determination shall not affect the validity and enforceability of any other remaining provisions.",0,0
1246,"Publishing Content does not warrant its validity, reliability, accuracy, legality or it being up-to-date.",0,0
1247,"Except as required by law, you agree that we are not obligated to take action in response to any report.",3,3
1248,"If the change relates to an Optional Service you may cancel the affected Optional Service by giving us notice in writing within thirty (30) days of us telling you about the changes.",0,1
1249,"It may be changed at any time at Grab’s sole discretion.",1,1
1250,"We may change these Terms at any time, and such changes will be posted on this or a similar page of this Website.",3,1
1251,"We will also indicate at the top of this page the date that such changes were last made.",0,0
1252,"There are some rules about what is acceptable though, so when you are using Badoo you may not post, send or upload any Content which: contains expletives or language which could be deemed offensive or is likely to harass, upset, embarrass, alarm or annoy any other person; is obscene, pornographic or otherwise may offend human dignity; is abusive, insulting or threatening, or which promotes, depicts or encourages violence, self-harm, suicide, racism, sexism, hatred or bigotry; encourages any illegal activity including, without limitation, terrorism, inciting racial hatred or the submission of which in itself constitutes committing a criminal offence; is defamatory; relates to commercial activities (including, without limitation, sales, competitions and advertising, links to other websites or premium line telephone numbers); involves the transmission of “junk” mail or “spam”; impersonates a person, company or brand with the intent to deceive or confuse others; contains any spyware, adware, viruses, corrupt files, worm programmes or other malicious code designed to interrupt, damage or limit the functionality of or disrupt any software, hardware, telecommunications, networks, servers or other equipment, Trojan horse or any other material designed to damage, interfere with, wrongly intercept or expropriate any data or personal data whether from Badoo or otherwise; itself, or the posting of which, infringes any third party’s rights (including, without limitation, intellectual property rights and privacy rights); shows another person where such Content was created or distributed without that person’s knowledge, and without that person having been afforded an opportunity to refuse such creation or distribution; or contains images of children, even if you are also in the photo, or endangers minors.",2,2
1253,"We accept no responsibility for any Phone blocked in this way.",0,0
1254,"We grant you a limited, personal, non-exclusive, non-sublicensable and non-transferable and revocable license to access and use our Content through the Software.",1,0
1255,"SUBJECT TO ANY THIRD PARTY RIGHTS IN ANY PREEXISTING CONTENT THAT IS A PART OF YOUR USER CONTENT, YOU RETAIN OWNERSHIP OF ANY RIGHTS YOU MAY HAVE IN YOUR USER CONTENT AND POSTING YOUR USER CONTENT DOES NOT TRANSFER OWNERSHIP OF YOUR RIGHTS TO 9GAG OR ANY THIRD PARTY.",0,1
1256,"WHEN YOU INSTALL, SETUP OR USE PRODUCTS AND SERVICES LIKE THOSE PROVIDED BY MESHARE YOU ARE GIVEN THE OPPORTUNITY TO ALTER DEFAULTS OR CHOOSE PARTICULAR SETTINGS.",1,0
1257,"We will always try our best to help resolve any issue that you may encounter with our service.",0,1
1258,"Our failure to exercise or enforce any right or provision of these Terms shall not constitute a waiver of such right or provision.",0,0
1259,"9 Limitation of Liability.",0,0
1260,"Confidentiality Obligations.",0,0
1261,"Should there be suspicions / complaints about your transactions, your account will be blocked until the situation is clarified.",0,0
1262,"Company License to Us.",0,0
1263,"Such User Content has to be deleted by the recipients of such User Content.",0,0
1264,"In addition, our communications themselves may include the opportunity to opt out.",0,1
1265,"This includes providing Users with public transit related information, including live, offline and online map information, line and station views, routing, live arrivals and departures, estimated times of arrival and service alerts.",0,0
1266,"The arbitrator’s decision will be final and binding upon the parties and may be enforced in any federal or state court that has jurisdiction.",0,1
1267,"If you are under 13 years old, you are not permitted to use the Tutor Chat service.",2,2
1268,"Grammarly reserves the right (at its sole discretion) to request that you change your password(s) in connection with the Services, and you shall promptly comply with any such request.",3,0
1269,"The Zoom website contains information on how to terminate Your Account.",0,0
1270,"You will therefore be able to restore your account and your profile in its entirety within 28 days of de-activating it.",1,1
1271,"INTELLECTUAL PROPERTY RIGHTS",0,0
1272,"Privacy",0,0
1273,"Please be aware that any fee or subscription plan is exclusive of all taxes.",0,0
1274,"This Content is for informational, cost-comparison purposes only.",0,0
1275,"The Service may contain links to third-party websites and online services that are not owned or controlled by YouTube. ",0,1
1276,"WhatsApp Business Policy",0,0
1277,"We will notify you (for example, by email or through our Products) at least 30 days before we make changes to these Terms and give you an opportunity to review them before they go into effect, unless changes are required by law.",0,0
1278,"If you are required to and do sign up for an account on behalf of your employer, your employer shall be the owner of the account, and you represent and warrant that you have the authority to bind your employer to the Agreement.",3,3
1279,"Disclaimers of Warranties and Limitation of Liability THE SERVICE AND ALL INFORMATION, CONTENT, MATERIALS, PRODUCTS (INCLUDING SOFTWARE) AND OTHER SERVICES INCLUDED ON OR OTHERWISE MADE AVAILABLE TO YOU THROUGH THE SERVICE ARE PROVIDED ON AN ""AS IS"" AND ""AS AVAILABLE"" BASIS, UNLESS OTHERWISE SPECIFIED IN WRITING.",0,0
1280,"Additionally, in order to use the Spotify Service and access any Content, you represent that: you reside in the United States, and any registration and account information that you submit to Spotify is true, accurate, and complete, and you agree to keep it that way at all times.",3,0
1281,"All terms, conditions or provisions on a purchase order shall be of no force and effect notwithstanding any acceptance of such purchase order.",0,0
1282,"Any use or reliance on any Content or materials posted via the Services or obtained by you through the Services is at your own risk.",3,0
1283,"You acknowledge and agree that we may use automated and/or discretionary tools and systems to review and monitor User Postings and other content on the Services for violations of this Agreement and applicable law.",3,1
1284,"THE ENTIRE RISK ARISING OUT OF USE OR PERFORMANCE OF THE SERVICES REMAINS WITH YOU.",0,0
1285,"Grab Rent is on-demand and cannot be booked beforehand (no advanced scheduling) and no multiple day bookings as well.",2,0
1286,"We will make all termination decisions in our sole discretion and we will not be liable to you or any third party for any termination of your account or access to your Content or SLOWLY.",0,0
1287,"“Registration” our acceptance of your application for Service. “Register” has a corresponding meaning.",0,0
1288,"F. The Terms, and any rights or obligations hereunder, are not assignable, transferable or sublicensable by you except with Yelp’s prior written consent, but may be assigned or transferred by us without restriction.",2,1
1289,"You agree that NOMO CAM may terminate your account or the use of the Service (or any part of it) and delete any content you provided to the Service on its own discretion, including but not limited to you lack of usage, or NOMO CAM believes that you violate the Terms of Use.",3,3
1290,"If those services or features require rights in addition to those we need to provide the GitHub Service, we will provide an explanation of those rights.",0,0
1291,"Upon registration on the Sites, Alibaba.com shall assign an account and issue a member ID and password (the latter shall be chosen by a registered User during registration) to each registered User.",3,0
1292,"Communications with GitHub",0,0
1293,"Sites and Accounts.",0,0
1294,"Box does offer products that enable storage and/or processing of Content outside of the United States and those products are subject to the Box Zones specific terms in Section 26.",0,0
1295,"The User acknowledges and accepts that the User Content he posts by means of the Service is accessible and may be used by other Users and such other Users may not use the User Content in accordance with these Terms of Use and / or applicable legislation.",3,1
1296,"If any part of these terms ends up being invalid or unenforceable based on a decision by any court or competent authority, the rest of these terms will not be affected.",0,0
1297,"IF YOU ARE NOT 13 YEARS OLD OR DO NOT WANT TO AGREE TO THESE TERMS OF USE, YOU MUST NOT ACCESS OR USE THE SERVICE.",2,2
1298,"After approval, the Conditions of Participation are an integral part of these Terms.",0,0
1299,"Content must comply with our Content Policy and Nondiscrimination Policy, which prohibit, among other things, discriminatory, obscene, harassing, deceptive, violent, and illegal content.",2,0
1300,"These Terms of Use (or “Terms”) govern your use of Instagram, except where we expressly state that separate terms (and not these) apply, and provide information about the Instagram Service (the “Service”), outlined below.",0,0
1301,"Third-Party Content",0,0
1302,"These are provided for your convenience and we are not responsible for and do not give any warranties or make any representations regarding any External Links and are not responsible for or liable in relation to the content or your use of any External Links.",0,0
1303,"When you submit ideas, documents, suggestions and/or proposals (""Contributions"") to our site, you acknowledge and agree that: a) your contributions do not contain any type of confidential or proprietary information; b) SBC shall not be liable or under any obligation to ensure or maintain confidentiality, expressed or implied, related to any Contributions; c) SBC shall be entitled to make use of and/or disclose any such Contributions in any such manner as they may see fit; d) the contributor's Contributions shall automatically become the sole property of SBC; and e) SBC is under no obligation to either compensate or provide any form of reimbursement in any manner or nature.",3,1
1304,"Please understand the difference between posting in public and private spaces on Discord, and choose the right space, features, and settings for you and your content.",3,0
1305," For JetBrains' internal evidence and to protect the rights and interests of JetBrains and other users; for this purpose, mainly (i) data collected by cookies or other tracking technologies and (ii) audit records, application logs, weblogs, and/or backups will be used.",0,0
1306,"Company’s Rights.",0,0
1307,"Cancellations, Travel Issues, and Refunds.",0,0
1308,"Grab collects and processes your personal data in accordance with its Privacy Policy.",0,0
1309,"Use Restrictions",0,0
1310,"Our Privacy Policy explains how we treat your personal data and protect your privacy when you use the Service.",0,0
1311,"The arbitration shall be conducted in Beijing.",0,0
1312,"Waze will not be liable for any direct or indirect damage, monetary or otherwise, arising from your use of or your reliance on the content of goods or services you have accessed via Ads or other links on the Software.",0,0
1313,"Because some states and jurisdictions do not allow the exclusion or limitation of liability, the above limitation may not apply to You.",0,1
1314,"By using Foxit eSign, you specifically agree not to engage in any activity that, in our sole discretion: – Abuses the good intentions or trust of Foxit eSign in any way.",2,0
1315,"We do not warrant that the Website and any and all of its related facilities or capabilities will be free of interruption or error, that defects will be corrected, or that the equipment and software that makes the Website available is free of viruses or other harmful components.",2,2
1316,"You shall indemnify and hold Grab, its licensors and each such party’s affiliates, officers, directors, members, employees, attorneys and agents harmless from and against any and all claims, costs, damages, losses, liabilities and expenses (including attorneys’ fees and costs and/or regulatory action) arising out of or in connection with: (a) your use of the GrabMart service, platform or application and/or software in your dealings with the Third Party Providers or Users (as the case may be), advertisers and/or sponsors; (b) your violation or breach of any of the Terms of Use or any applicable law or regulation, whether or not referenced herein; (c) your violation of any rights of any third party, including Third Party Providers or Users arranged via the GrabMart service, platform or application and/or software; (d) your use or misuse of the GrabMart service, platform or application and/or software; (e) where applicable your ownership, use or operation of any Vehicle, including your provision of Solutions to Users via the Service where applicable; or (f) the provision by Third Party Providers, advertisers and/or sponsors of false, inaccurate, deceptive, fraudulent, or otherwise illegal information, including but not limited to (i) product, price or promotional information, (ii) service information, or (iii) other information required to be disclosed by applicable law and/or administrative rules.",3,1
1317,"We may establish general practices and limits concerning use of SLOWLY, including without limitation the number of days that we retain Content, the number and size of posts and messages you may send or receive, and the space we allot on our servers for your use.",1,1
1318,"You understand and acknowledge that the Services may be unavailable from time to time and that Truecaller will not be liable for Your inability to use the Services for whatever reason.",3,1
1319,"We may make available software for your use in connection with the Service (""Software"").",1,1
1320,"Any translation of the terms into another language is provided solely for your convenience, and to the extent there is any conflict between the two, the English (US) version controls.",0,0
1321,"THIS PROVISION APPLIES TO ANY CLAIM, REGARDLESS OF WHETHER THE CLAIM ASSERTED IS BASED ON WARRANTY, CONTRACT, TORT, OR ANY OTHER LEGAL THEORY.",0,0
1322,"Monitoring user content Spotify may, but has no obligation to, monitor or review User Content.",1,1
1323,"NordVPN Services are transitory digital network communications services, which enhance internet security and privacy.",0,0
1324,"Either party may disclose Confidential Information where required by law, regulation, or court order, provided that the party subject to such law, regulation or court order shall, where permitted, notify the other party of any such use or requirement prior to disclosure in order to afford such other party an opportunity to seek a protective order to prevent or limit disclosure of the information to third parties.",1,1
1325,"This Personal Data will be saved and processed in accordance with the Privacy Statement, and the applicable Dutch legislation in force from time to time, currently being the Dutch Personal Data Protection Act (“Wet bescherming persoonsgegevens”) and the European General Data Protection Regulation (GDPR).",0,0
1326,"If you post branded content, you must comply with our Branded Content Policies, which require you to use our branded content tool.",3,0
1327,"Devices and Software.",0,0
1328,"A “user” is someone who accesses or in any way uses the Service. “We,” “us,” and “our” refer to Yelp and its subsidiaries.",0,0
