CLASSES,SENTENCES,PROVIDER,VALUE
OTHERS,Modification to AAA Rules - Arbitration Hearing/Location.,Airbnb,0
DUTY,"In order to make the arbitration most convenient to you, Airbnb agrees that any required arbitration hearing may be conducted, at your option: (a) in the U.S. county where you reside; (b) in San Francisco County; (c) via phone or video conference; or (d) if all parties agree, by solely the submission of documents to the arbitrator.",Airbnb,3
OTHERS,Modification of AAA Rules - Attorney’s Fees and Costs.,Airbnb,0
DUTY,"Your arbitration fees and your share of arbitrator compensation shall be governed by the AAA Rules and, where appropriate, limited by the AAA Consumer Rules.",Airbnb,3
OTHERS,"If such costs are determined by the arbitrator to be excessive, Airbnb will pay all arbitration fees and expenses.",Airbnb,0
PERMISSION,"Either party may make a request that the arbitrator award attorneys’ fees and costs upon proving that the other party has asserted a claim, cross-claim or defense that is groundless in fact or law, brought in bad faith or for the purpose of harassment, or is otherwise frivolous, as allowed by applicable law and the AAA Rules.",Airbnb,1
OTHERS,Arbitrator’s Decision.,Airbnb,0
OTHERS,The arbitrator’s decision will include the essential findings and conclusions upon which the arbitrator based the award.,Airbnb,0
PERMISSION,Judgment on the arbitration award may be entered in any court with proper jurisdiction.,Airbnb,1
PERMISSION,"The arbitrator may award any relief allowed by law or the AAA Rules, but declaratory or injunctive relief may be awarded only on an individual basis and only to the extent necessary to provide relief warranted by the claimant’s individual claim.",Airbnb,1
OTHERS,Jury Trial Waiver.,Airbnb,0
DUTY,You and Airbnb acknowledge and agree that we are each waiving the right to a trial by jury as to all arbitrable Disputes.,Airbnb,3
OTHERS,No Class Actions or Representative Proceedings.,Airbnb,0
DUTY,"You and Airbnb acknowledge and agree that, to the fullest extent permitted by law, we are each waiving the right to participate as a plaintiff or class member in any purported class action lawsuit, class-wide arbitration, private attorney general action, or any other representative or consolidated proceeding.",Airbnb,3
PROHIBITION,"Unless we agree in writing, the arbitrator may not consolidate more than one party’s claims and may not otherwise preside over any form of any class or representative proceeding.",Airbnb,2
OTHERS,"If there is a final judicial determination that applicable law precludes enforcement of the waiver contained in this paragraph as to any claim, cause of action or requested remedy, then that claim, cause of action or requested remedy, and only that claim, cause of action or requested remedy, will be severed from this agreement to arbitrate and will be brought in a court of competent jurisdiction.",Airbnb,0
DUTY,"In the event that a claim, cause of action or requested remedy is severed pursuant to this paragraph, then you and we agree that the claims, causes of action or requested remedies that are not subject to arbitration will be stayed until all arbitrable claims, causes of action and requested remedies are resolved by the arbitrator.",Airbnb,3
OTHERS,Severability.,Airbnb,0
OTHERS,"Except as provided in Section 23.11, in the event that any portion of this Arbitration Agreement is deemed illegal or unenforceable, such provision will be severed and the remainder of the Arbitration Agreement will be given full force and effect.",Airbnb,0
OTHERS,Changes to Agreement to Arbitrate.,Airbnb,0
PERMISSION,"If Airbnb changes this Section 23 after the date you last accepted these Terms (or accepted any subsequent changes to these Terms), you may reject that change by sending us written notice (including by email) within 30 days of the date the change is effective.",Airbnb,1
OTHERS,"Rejecting a new change, however, does not revoke or alter your prior consent to any earlier agreements to arbitrate any Dispute between you and Airbnb (or your prior consent to any subsequent changes thereto), which will remain in effect and enforceable as to any Dispute between you and Airbnb.",Airbnb,0
OTHERS,Survival.,Airbnb,0
OTHERS,"Except as provided in Section 23.12 and subject to Section 13.6, this Section 23 will survive any termination of these Terms and will continue to apply even if you stop using the Airbnb Platform or terminate your Airbnb account.",Airbnb,0
OTHERS,China Governing Law and Dispute Resolution.,Airbnb,0
OTHERS,China Domestic Transactions.,Airbnb,0
OTHERS,"If you reside or have your place of establishment in China, and are contracting with Airbnb China, these Terms and this Section 24.1 are governed by the laws of the People’s Republic of China.",Airbnb,0
OTHERS,"In this situation, any dispute arising from or in connection with these Terms or use of the Airbnb Platform shall be submitted to the China International Economic and Trade Arbitration Commission (“CIETAC”) for arbitration which shall be conducted in accordance with the Commission’s arbitration rules in effect at the time of applying for arbitration.",Airbnb,0
OTHERS,The arbitral award is final and binding upon both parties.,Airbnb,0
OTHERS,The tribunal shall consist of three (3) arbitrators.,Airbnb,0
OTHERS,The seat of the arbitration shall be Beijing.,Airbnb,0
OTHERS,The language of the arbitration shall be English.,Airbnb,0
OTHERS,"If you reside or have your place of establishment in China, and are contracting with Airbnb, Inc., Airbnb Travel, LLC, Airbnb Ireland UC, or any other non-China entity, these Terms and this Section 24.2 are governed by the laws of Singapore.",Airbnb,0
OTHERS,"In this situation, any dispute arising out of or in connection with these Terms or use of the Airbnb Platform, including any question regarding the existence, validity or termination of these Terms, shall be referred to and finally resolved by arbitration administered by the Singapore International Arbitration Centre (“SIAC”) in accordance with the Arbitration Rules of the Singapore International Arbitration Centre (“SIAC Rules”) for the time being in force, which rules are deemed to be incorporated by reference in this clause.",Airbnb,0
OTHERS,The seat of the arbitration shall be Singapore.,Airbnb,0
OTHERS,The Tribunal shall consist of three (3) arbitrators.,Airbnb,0
OTHERS,The language of the arbitration shall be English.,Airbnb,0
OTHERS,Without Limitation Provisions.,Airbnb,0
PROHIBITION,"The above Sections 24.1 and 24.2 are expressed to be without regard to conflict of laws provisions and shall not be construed to limit any rights which Airbnb may have to apply to any court of competent jurisdiction for any order requiring you to perform or be prohibited from performing certain acts and other provisional relief permitted under the laws of Singapore, the People’s Republic of China, or any other laws that may apply to you.",Airbnb,2
OTHERS,Brazil Governing Law and Venue.,Airbnb,0
OTHERS,"If you reside or have your place of establishment in Brazil, these Terms will be interpreted in accordance with the laws of Brazil, without regard to conflict-of-law provisions.",Airbnb,0
OTHERS,Legal proceedings that you are able to bring against us arising from or in connection with these Terms may only be brought in a court located in Brazil.,Airbnb,0
OTHERS,"Rest of World Dispute Resolution, Venue and Forum, and Governing Law.",Airbnb,0
OTHERS,"If you reside or have your place of establishment outside of the United States, China, and Brazil, this Section applies to you and these Terms will be interpreted in accordance with Irish law. The application of the United Nations Convention on Contracts for the International Sale of Goods (CISG) is excluded.",Airbnb,0
OTHERS,"If you are acting as an individual consumer and if mandatory statutory consumer protection regulations in your country of residence contain provisions that are more beneficial for you, such provisions shall apply irrespective of the choice of Irish law.",Airbnb,0
PERMISSION,"As an individual consumer, you may bring any judicial proceedings relating to these Terms before the competent court of your place of residence or the competent court of Airbnb's place of business in Ireland.",Airbnb,1
DUTY,"If Airbnb wishes to enforce any of its rights against you as a consumer, we may do so only in the courts of the jurisdiction in which you are a resident.",Airbnb,3
DUTY,"If you are acting as a business, you agree to submit to the exclusive jurisdiction of the Irish courts.",Airbnb,3
OTHERS,Miscellaneous.,Airbnb,0
OTHERS,Other Terms Incorporated by Reference.,Airbnb,0
OTHERS,"Our Host Damage Protection, Japan Host Insurance Terms, Guest Refund Policy, Experiences Guest Refund Policy, Content Policy, Nondiscrimination Policy, Extenuating Circumstances Policy, Additional Legal Terms, Policies, Standards and other supplemental policies and terms linked to in these Terms apply to your use of the Airbnb Platform, are incorporated by reference, and form part of your agreement with Airbnb.",Airbnb,0
OTHERS,Interpreting these Terms.,Airbnb,0
OTHERS,"Except as they may be supplemented by additional terms, conditions, policies, guidelines, standards, and in-product disclosures, these Terms (including those items incorporated by reference) constitute the entire agreement between Airbnb and you pertaining to your access to or use of the Airbnb Platform and supersede any and all prior oral or written understandings or agreements between Airbnb and you.",Airbnb,0
OTHERS,These Terms do not and are not intended to confer any rights or remedies upon anyone other than you and Airbnb.,Airbnb,0
OTHERS,"If any provision of these Terms is held to be invalid or unenforceable, except as otherwise indicated in Section 23.11 above, such provision will be struck and will not affect the validity and enforceability of the remaining provisions.",Airbnb,0
OTHERS,Where the word “will” is used in these Terms it connotes an obligation with the same meaning as “shall.”,Airbnb,0
OTHERS,No Waiver.,Airbnb,0
OTHERS,Airbnb’s failure to enforce any right or provision in these Terms will not constitute a waiver of such right or provision unless acknowledged and agreed to by us in writing.,Airbnb,0
OTHERS,"Except as expressly set forth in these Terms, the exercise by either party of any of its remedies under these Terms will be without prejudice to its other remedies under these Terms or otherwise permitted under law.",Airbnb,0
OTHERS,Assignment.,Airbnb,0
PROHIBITION,"You may not assign, transfer or delegate this agreement or your rights and obligations hereunder without Airbnb's prior written consent.",Airbnb,2
PERMISSION,"Airbnb may without restriction assign, transfer or delegate this agreement and any rights and obligations hereunder, at its sole discretion, with 30 days’ prior notice.",Airbnb,1
OTHERS,Notice.,Airbnb,0
OTHERS,"Unless specified otherwise, any notices or other communications to Members permitted or required under this agreement, will be provided electronically and given by Airbnb via email, Airbnb Platform notification, messaging service (including SMS and WeChat), or any other contact method we enable and you provide.",Airbnb,0
DUTY,"If a notification relates to a booking or Listing in Japan, you agree and acknowledge that such notifications via electronic means in lieu of a written statement, satisfies Airbnb’s obligations under Article 59 (1) of the Japanese Housing Accommodation Business Act.",Airbnb,3
OTHERS,Third-Party Services.,Airbnb,0
OTHERS,"The Airbnb Platform may contain links to third-party websites, applications, services or resources (“Third-Party Services”) that are subject to different terms and privacy practices.",Airbnb,0
OTHERS,Airbnb is not responsible or liable for any aspect of such Third-Party Services and links to such Third-Party Services are not an endorsement.,Airbnb,0
OTHERS,Google Terms.,Airbnb,0
OTHERS,Some translations on the Airbnb Platform are powered by Google.,Airbnb,0
OTHERS,"Google disclaims all warranties related to the translations, express or implied, including any warranties of accuracy, reliability, and any implied warranties for merchantability, fitness for a particular purpose and non-infringement.",Airbnb,0
OTHERS,"Some areas of the Airbnb Platform implement Google Maps/Earth mapping services, including Google Maps API(s).",Airbnb,0
OTHERS,Your use of Google Maps/Earth is subject to the Google Maps/Google Earth Additional Terms of Service.,Airbnb,0
OTHERS,Apple Terms.,Airbnb,0
DUTY,"If you access or download our application from the Apple App Store, you agree to Apple’s Licensed Application End User License Agreement.",Airbnb,3
OTHERS,Airbnb Platform Content.,Airbnb,0
OTHERS,"Content made available through the Airbnb Platform may be protected by copyright, trademark, and/or other laws of the United States and other countries.",Airbnb,0
DUTY,"You acknowledge that all intellectual property rights for that Content are the exclusive property of Airbnb and/or its licensors and agree that you will not remove, alter or obscure any copyright, trademark, service mark or other proprietary rights notices.",Airbnb,3
PROHIBITION,"You may not use, copy, adapt, modify, prepare derivative works of, distribute, license, sell, transfer, publicly display, publicly perform, transmit, broadcast or otherwise exploit any Content accessed through the Airbnb Platform except to the extent you are the legal owner of that Content or as expressly permitted in these Terms.",Airbnb,2
PERMISSION,"Subject to your compliance with these Terms, Airbnb grants you a limited, non-exclusive, non-sublicensable, revocable, non-transferable license to (i) download and use the Application on your personal device(s); and (ii) access and view the Content made available on or through the Airbnb Platform and accessible to you, solely for your personal and non-commercial use.",Airbnb,1
OTHERS,Airbnb.org.,Airbnb,0
OTHERS,"Airbnb.org is a nonprofit corporation exempt from income taxation under U.S. Internal Revenue Code Section 501(c)(3), operating as a public charity.",Airbnb,0
OTHERS,Airbnb.org is not owned or controlled by Airbnb.,Airbnb,0
OTHERS,Airbnb.org administers a number of charitable programs that benefit our Host and Guest communities and the public.,Airbnb,0
OTHERS,Force Majeure.,Airbnb,0
OTHERS,"Airbnb shall not be liable for any delay or failure to perform resulting from causes outside its reasonable control, including, but not limited to, acts of God, natural disasters, war, terrorism, riots, embargoes, acts of civil or military authorities, fire, floods, accidents, pandemics, epidemics or disease, strikes or shortages of transportation facilities, fuel, energy, labor or materials.",Airbnb,0
OTHERS,Emails and SMS.,Airbnb,0
OTHERS,You will receive administrative communications from us using the email address or other contact information you provide for your Airbnb account.,Airbnb,0
OTHERS,"Enrollment in additional email subscription programs will not affect the frequency of these administrative emails, though you should expect to receive additional emails specific to the program(s) to which you have subscribed.",Airbnb,0
PERMISSION,You may also receive promotional emails from us.,Airbnb,1
OTHERS,"No fee is charged for these promotional emails, but third-party data rates could apply.",Airbnb,0
PERMISSION,You can control whether you receive promotional emails using the notification preferences in your account settings.,Airbnb,1
OTHERS,Please note that you will not be able to take advantage of certain promotions if you disable certain communication settings or do not have an Airbnb account.,Airbnb,0
OTHERS,"In the U.S. if you consent to receive SMS (text messages) from us, you will be subject to our SMS Terms.",Airbnb,0
OTHERS,Contact Us.,Airbnb,0
OTHERS,If you have any questions about these Terms please email us.,Airbnb,0
OTHERS,Additional Terms Applicable to Business Users,Airbnb,0
OTHERS,"If you are a Business User as defined in Section 25 of these Terms, the following additional terms will apply to you:",Airbnb,0
OTHERS,Business Users.,Airbnb,0
OTHERS,"You are a “Business User” for the purposes of these Terms if (i) your place of residence or establishment is within the EEA or the United Kingdom, (ii) you fully meet the definition of a ‘business user’ outlined in Article 2 (1) of Regulation (EU) 2019/1150 on promoting fairness and transparency for business users of online intermediation services (“Platform to Business Regulation”), and (iii) you have notified Airbnb that you are a Business User by adding your business details to your Airbnb account.",Airbnb,0
DUTY,You are responsible for keeping your business details accurate and up to date.,Airbnb,3
OTHERS,"Termination, Suspension and other Measures.",Airbnb,0
PERMISSION,"In case we take any of the measures according to Section 13.2 and 13.3, you will be given the opportunity to clarify the facts and circumstances leading to such a measure in the framework of our internal complaint-handling process as described in Section 27.",Airbnb,1
OTHERS,Complaints Handling and Mediation.,Airbnb,0
OTHERS,We want to be transparent about how we handle complaints and aim to treat all Business Users fairly.,Airbnb,0
OTHERS,Our Help Center explains how you can access our internal complaint-handling system and what you can expect as a Business User when you make a complaint in relation to issues falling under the remit of Article 11 (1) of the Platform to Business Regulation.,Airbnb,0
OTHERS,It also sets out the details of the mediation service that you can use in the event that such a complaint is not resolved.,Airbnb,0
OTHERS,Access to Data.,Airbnb,0
OTHERS,"Business Users have access to personal and other data in their Airbnb account and host dashboard which is provided by the Business User, their Guests or generated through the use of the Airbnb Platform and which is necessary for the performance of their Host Services as well as aggregated information about searches, bookings and the performance of their listings.",Airbnb,0
OTHERS,"Our Privacy Policy sets out the categories of personal data and other data we collect, how we use, process, disclose and retain it, and how you can access it and exercise your data rights.",Airbnb,0
OTHERS,Additional Distribution Channels.,Airbnb,0
OTHERS,"Airbnb operates an affiliate program through which Listings may be featured on third party websites, such as those for online travel sites, media outlets, loyalty programs, and search aggregators.",Airbnb,0
PERMISSION,Listings may also appear in advertisements for Airbnb published on third party websites from time to time.,Airbnb,1
DUTY,PLEASE READ THESE TERMS AND CONDITIONS CAREFULLY!,Alibaba,3
OTHERS,Welcome to www.alibaba.com!,Alibaba,0
OTHERS,"These Terms of Use describe the terms and conditions applicable to your access and use of the websites, mobile sites, mobile applications and other portals owned, operated, branded or made available by Alibaba.com (defined below) from time to time which relate to the Alibaba e-commerce platform including but not limited to the web and mobile-optimized versions of the websites identified by the uniform resource locator “www.alibaba.com” and the mobile applications of the Alibaba.com e-commerce platform (the “Sites”).",Alibaba,0
OTHERS,"This document is a legally binding agreement between you as the user(s) of the Sites (referred to as “you”, “your” or “User” hereinafter) and the Alibaba.com contracting entity determined in accordance with clause 2.1 below (referred to as “we”, “our” or “Alibaba.com” hereinafter).",Alibaba,0
OTHERS,Application and Acceptance of the Terms,Alibaba,0
OTHERS,"Your access to and use of the Sites and Alibaba.com’s services, software and products through the Sites, which shall include the platforms described in clause 7.1 of the Terms (such services, software and products collectively referred to as the “Services” hereinafter) is subject to the terms and conditions contained in this document as well as the Privacy Policy(defined in clause 3.3 below), the Product Listing Policyand any other rules and policies of the Sites that Alibaba.com may publish from time to time.",Alibaba,0
OTHERS,This document and such other rules and policies of the Sites are collectively referred to below as the “Terms”.,Alibaba,0
DUTY,"By accessing and use of the Sites and Services, you agree to accept and be bound by the Terms.",Alibaba,3
PROHIBITION,Please do not access or use the Services or the Sites if you do not accept all of the Terms.,Alibaba,2
PROHIBITION,"You may not access or use the Services or the Sites and may not accept the Terms if (a) you are not of legal age to form a binding contract with Alibaba.com, or (b) you are not permitted to receive any Services under the laws of Hong Kong or other countries/regions including the country/region in which you are resident or from which you access and use the Services and the Sites.",Alibaba,2
PERMISSION,Alibaba.com may amend any Terms at any time by posting the relevant amended and restated Terms on the Sites.,Alibaba,1
DUTY,"By continuing to access or use the Services or the Sites, you agree that the amended and restated Terms will apply to you.",Alibaba,3
DUTY,"If Alibaba.com has posted or provided a translation of the English language version of the Terms, you agree that the translation is provided for convenience only and that the English language version will govern your access to and use of the Services or the Sites.",Alibaba,3
DUTY,"You may be required to enter into separate agreement(s), whether online or offline, with Alibaba.com or our affiliate for any Service (or features within the Services) (each an “Additional Agreement”).",Alibaba,3
OTHERS,"If there is any conflict or inconsistency between the Terms and an Additional Agreement, the Additional Agreement shall take precedence over the Terms only in relation to that Service (or feature within the Service) concerned.",Alibaba,0
PROHIBITION,The Terms may not otherwise be modified except in writing by an authorized officer of Alibaba.com.,Alibaba,2
OTHERS,Provision of Services,Alibaba,0
OTHERS,"If you are a registered member of any of the Sites, and you are from mainland China, you are contracting with Hangzhou Alibaba Advertising Co., Ltd.",Alibaba,0
OTHERS,"If you are a registered member of any of the Sites, and you are from Hong Kong or Macau, the Alibaba.com contracting entity that you are contracting with is Alibaba.com Hong Kong Limited.",Alibaba,0
OTHERS,"If you are a registered member of any of the Sites, and either (a) you are from a place outside mainland China, Hong Kong, Macau; or (b) you access and use the Alibaba Sites from any of the Relevant Jurisdictions, you are contracting with Alibaba.com Singapore E-Commerce Private Limited (incorporated in Singapore with Company Reg. No. 200720572D).",Alibaba,0
PERMISSION,"As some or part of the Services may be supported and provided by affiliates of Alibaba.com, Alibaba.com may delegate some of the Services to its affiliates.",Alibaba,1
OTHERS,"“Relevant Jurisdictions” shall mean the Russian Federation, Azerbaijan, Armenia, Belarus, Georgia, Kazakhstan, Kyrgyzstan, Moldova, Turkmenistan, Tajikistan and Uzbekistan.",Alibaba,0
DUTY,"You must register as a member on the Sites in order to access and use some Services. Further, Alibaba.com reserves the right, without prior notice, to restrict access to or use of certain Services (or any features within the Services) to paying Users, or subject to other conditions that Alibaba.com may impose in our discretion.",Alibaba,3
PERMISSION,Services (or any features within the Services) may vary for different regions and countries.,Alibaba,1
OTHERS,No warranty or representation is given that a particular Service or feature or function thereof or the same type and extent of the Service or features and functions thereof will be available for Users.,Alibaba,0
PERMISSION,"Alibaba.com may in our sole discretion limit, deny or create different levels of access to and use of any Services (or any features within the Services) with respect to different Users.",Alibaba,1
PERMISSION,"Alibaba.com may launch, change, upgrade, impose conditions to, suspend, or stop any Services (or any features within the Services) without prior notice except that in case of a fee-based Service, such changes will not substantially adversely affect the ability of such paying Users to enjoy that Service.",Alibaba,1
PERMISSION,Some Services (or part thereof) may be provided by Alibaba.com’s affiliates on behalf of Alibaba.com.,Alibaba,1
OTHERS,"Promotion Services provided by Alibaba.com pursuant to the terms hereunder shall include: 1) Top Ranking and Sponsored Listing; 2) services that benefit, promote, support, whether directly or indirectly, the business of User, the User’s brand, product, store, logo, trademark, service mark, User Content (as defined in clause 3.7 of the Terms) and/or derivative work using the User Content on software, applications, tools, browser extensions and/or platforms operated and/or controlled by Alibaba.com (“Alibaba Channels”) and/or on software, applications, channels, platforms, websites and/or any other forms of media that are operated and/or controlled by third parties (“Third Party Channels”); and 3) any such other services as may be announced by Alibaba.com from time to time.",Alibaba,0
PERMISSION,"Alibaba.com shall be entitled to, at its sole discretion, determine whether the Promotion Services or any part thereof will be available to you.",Alibaba,1
OTHERS,Users Generally,Alibaba,0
DUTY,"As a condition of your access to and use of the Sites or Services, you agree that you will comply with all applicable laws and regulations when accessing or using the Sites or Services.",Alibaba,3
PROHIBITION,"You agree that (a) you will not copy, reproduce, download, re-publish, sell, distribute or resell any Services or any information, text, images, graphics, video clips, sound, directories, files, databases or listings, etc available on or through the Sites (the “Site Content”), and (b) you will not copy, reproduce, download, compile or otherwise use any Site Content for the purposes of operating a business that competes with Alibaba.com, or otherwise commercially exploiting the Site Content.",Alibaba,2
PROHIBITION,"Systematic retrieval of Site Content from the Sites to create or compile, directly or indirectly, a collection, compilation, database or directory (whether through robots, spiders, automatic devices or manual processes) without written permission from Alibaba.com is prohibited.",Alibaba,2
PROHIBITION,Use of any content or materials on the Sites for any purpose not expressly permitted in the Terms is prohibited.,Alibaba,2
OTHERS,"To know how we and our affiliates use and protect your personal information when using the relevant Site, please review our privacy policy at the following link: Alibaba.com Privacy Policy.",Alibaba,0
PERMISSION,"Alibaba.com may allow Users to access to content, products or services offered by third parties through hyperlinks (in the form of word link, banners, channels or otherwise), API or otherwise to such third parties' web sites.",Alibaba,1
DUTY,You are cautioned to read such web sites' terms and conditions and/or privacy policies before using the Sites.,Alibaba,3
DUTY,"You acknowledge that Alibaba.com has no control over such third parties' web sites, does not monitor such web sites, and shall not be responsible or liable to anyone for such web sites, or any content, products or services made available on or through such web sites.",Alibaba,3
PROHIBITION,You agree not to undertake any action to undermine the integrity of the computer systems or networks of Alibaba.com and/or any other User nor to gain unauthorized access to such computer systems or networks.,Alibaba,2
PROHIBITION,"You agree not to undertake any action which may undermine the integrity of Alibaba.com’s feedback system, such as leaving positive feedback for yourself using secondary Member IDs or through third parties or by leaving unsubstantiated negative feedback for another User.",Alibaba,2
PERMISSION,"By posting or displaying any logos, trademarks, service marks, brands, description/information in the product listings, and any other information, content or material on the Sites (any of such information, content or material, collectively referred to as“User Content”) or providing any User Content to Alibaba.com and/or its affiliates and their respective representative(s), and to the extent permitted under applicable laws, you grant an irrevocable, perpetual, worldwide, royalty-free, and sub-licensable (through multiple tiers) license to Alibaba.com and/or its affiliates and their respective representative(s) to display, transmit, distribute, reproduce, publish, duplicate, adapt, modify, edit, translate, create derivative works using the User Content, remove any part of it (including, without limitation, the watermark or mark the User Content bears), and otherwise use any or all of the User Content in any form, media, or technology now known or not currently known in any manner, on the Sites, Alibaba Channels and/or Third Party Channels and for any purpose which may be beneficial, whether directly or indirectly, to Alibaba.com, the operation of the Sites, the provision of any Services and Promotion Services and/or the business of the User.",Alibaba,1
DUTY,"You confirm and warrant to Alibaba.com that you have all the rights, power and authority necessary to grant the above license and the User Content and use of such User Content (including derivative works) by Alibaba.com and/or its affiliates under such license is free from any infringement or violation of any Third Party Rights (as defined in clause 5.4 of the Terms).",Alibaba,3
DUTY,"To the maximum extent permitted by law, you waive your right to enforce your Intellectual Property Rights in the User Content against Alibaba.com and/or its affiliates, assignees or sub-licensees in connection with use of such User Content in connection with the Services.",Alibaba,3
OTHERS,Information that is protected under data protection laws will only be used and kept in compliance with those laws.,Alibaba,0
OTHERS,Member Accounts,Alibaba,0
DUTY,User must be registered on the Sites to access or use some Services (a registered User is also referred to as a “Member” below).,Alibaba,3
DUTY,"Except with Alibaba.com’s approval, one User may only register one member account on the Sites.",Alibaba,3
PERMISSION,Alibaba.com may cancel or terminate a User’s member account if Alibaba.com has reasons to suspect that the User has concurrently registered or is in control of two or more member accounts.,Alibaba,1
PERMISSION,"Further, Alibaba.com may reject User’s application for registration for any reason.",Alibaba,1
DUTY,"Upon registration on the Sites, Alibaba.com shall assign an account and issue a member ID and password (the latter shall be chosen by a registered User during registration) to each registered User.",Alibaba,3
PERMISSION,An account may have a web-based email account with limited storage space for the Member to send or receive emails.,Alibaba,1
OTHERS,A set of Member ID and password is unique to a single account.,Alibaba,0
DUTY,Each Member shall be solely responsible for maintaining the confidentiality and security of your Member ID and password and for all use of and activities that occur under your account (whether such use or activities are authorized or not).,Alibaba,3
PROHIBITION,"No Member may share, assign, or permit the use of your Member account, ID or password by another person, even to other individuals within the Member’s own business entity (where applicable).",Alibaba,2
DUTY,Member agrees to notify Alibaba.com immediately if you become aware of any unauthorized use of your password or your account or any other breach of security of your account.,Alibaba,3
DUTY,"Member agrees that all use of the Sites and Services, and all activities that occur under your account (including without limitation, posting any company or product information, clicking to accept any Additional Agreements or rules, subscribing to or making any payment for any services, sending emails using the email account or sending SMS) will be deemed to have been authorized by the Member.",Alibaba,3
DUTY,"Member acknowledges that sharing of your account with other persons, or allowing multiple users outside of your business entity to use your account (collectively, ""multiple use""), may cause irreparable harm to Alibaba.com or other Users of the Sites.",Alibaba,3
DUTY,"Member shall indemnify Alibaba.com, our affiliates, directors, employees, agents and representatives against any loss or damages (including but not limited to loss of profits) suffered as a result of the multiple use of your account.",Alibaba,3
DUTY,"Member also agrees that in case of the multiple use of your account or Member’s failure to maintain the security of your account, Alibaba.com shall not be liable for any loss or damages arising from such a breach and shall have the right to suspend or terminate Member’s account without liability to the Member.",Alibaba,3
OTHERS,Member’s Responsibilities,Alibaba,0
DUTY,"Each Member represents, warrants and agrees that (a) you have full power and authority to accept the Terms, to grant the license and authorization and to perform the obligations hereunder; (b) your access and use the Sites and Services will be for business purposes only; and (c) for Members who are business entities, the address you provide when registering is the principal place of business of your business entity.",Alibaba,3
OTHERS,"For purposes of this provision, a branch or liaison office will not be considered a separate entity and your principal place of business will be deemed to be that of your head office.",Alibaba,0
DUTY,"Member will be required to provide information or material about your entity, business or products/services as part of the registration process on the Sites for your access to and use of any Service or the member account.",Alibaba,3
DUTY,"Each Member represents, warrants and agrees that (a) such information and material whether submitted during the registration process or thereafter throughout the continuation of the use of the Sites or Service is true, accurate, current and complete, and (b) you will maintain and promptly amend all information and material to keep it true, accurate, current and complete.",Alibaba,3
PERMISSION,"Upon becoming a Member, you consent to the inclusion of the contact information about you in our database and authorize Alibaba.com and our affiliates to share the contact information with other Users or otherwise use your personal information in accordance with the Privacy Policy.",Alibaba,1
DUTY,"Each Member represents, warrants and agrees that (a) you shall be solely responsible for obtaining all necessary third party licenses and permissions regarding any User Content that you submit, post or display; (b) any User Content that you submit, post or display does not infringe or violate any of the copyright, patent, trademark, trade name, trade secrets or any other personal or proprietary rights of any third party (“Third Party Rights”); and (c) you have the right and authority to sell, trade, distribute or export or offer to sell, trade, distribute or export the products or services described in the User Content and such sale, trade, distribution or export or offer does not violate any Third Party Right；and (d) neither the Member nor any of its related persons, have been banned or removed from any major e-commerce platforms, or otherwise implicated in selling counterfeit or pirated products online.",Alibaba,3
PROHIBITION,"Each Member further represents, warrants and agrees that the User Content that you submit, post or display shall: a) be true, accurate, complete and lawful; b) not be false, misleading or deceptive; c) not contain information that is defamatory, libelous, threatening or harassing, obscene, objectionable, offensive, sexually explicit or harmful to minors; d) not contain information that is discriminatory or promotes discrimination based on race, sex, religion, nationality, disability, sexual orientation or age; e) not violate the Product Listing Policy, other Terms or any applicable Additional Agreements f) not violate any applicable laws and regulations (including without limitation those governing export control, consumer protection, unfair competition, price gouging or false advertising) or promote any activities which may violate any applicable laws and regulations; g) not contain any link directly or indirectly to any other web Sites which includes any content that may violate the Terms.",Alibaba,2
PROHIBITION,"Each Member further represents, warrants and agrees that you shall/are: a) carry on your activities on the Sites in compliance with any applicable laws and regulations; b) conduct your business transactions with other users of the Sites in good faith; c) carry on your activities in accordance with the Terms and any applicable Additional Agreements; d) not use the Services or Sites to defraud any person or entity (including without limitation sale of stolen items, use of stolen credit/debit cards); e) not impersonate any person or entity, misrepresent yourself or your affiliation with any person or entity; f) not engage in spamming or phishing; g) not engage in any other unlawful activities (including without limitation those which would constitute a criminal offence, give rise to civil liability, etc) or encourage or abet any unlawful activities; h) not involve attempts to copy, reproduce, exploit or expropriate Alibaba.com’s various proprietary directories, databases and listings; i) not involve any computer viruses or other destructive devices and codes that have the effect of damaging, interfering with, intercepting or expropriating any software or hardware system, data or personal information; j) not involve any scheme to undermine the integrity of the data, systems or networks used by Alibaba.com and/or any user of the Sites or gain unauthorized access to such data, systems or networks; k) not, and your director(s), officer(s), controlling party/ies, affiliates and legal jurisdiction in which any of the foregoing persons or entities is organized or has operations are not, persons or entities that are subject to any economic or fraud sanctions of any governmental, international or regulatory entities; and l) not engage in any activities that would otherwise create any liability for Alibaba.com or our affiliates.",Alibaba,2
PROHIBITION,"Member may not use the Sites, Services or member account to engage in activities which are identical or similar to Alibaba.com’s e-commerce marketplace business.",Alibaba,2
DUTY,"If Member provides a business referee, Member represents, warrants and agrees that you have obtained all necessary consents, approvals and waivers from such referee to (a) act as your business referee; (b) post and publish their contact details and information, reference letters and comments on their behalf; and (c) that third parties may contact such business referees to support claims or statements made about you.",Alibaba,3
